sale_id,store_id,store_name,region,product_id,product_name,category,sale_date,quantity_sold,selling_price,cost_price,return_quantity,revenue,profit
1,107,Chennai Store,South,203,Smart Watch,Electronics,2025-01-01 00:00:00,38,59199,10337,2,2249562,1856756
2,104,Delhi Store,West,206,Hard Disk,Networking,2025-01-01 00:01:00,45,48152,31958,0,2166840,728730
3,105,Pune Store,South,202,Router,Accessories,2025-01-01 00:02:00,4,16684,45482,7,66736,-115192
4,107,Ahmedabad Store,East,208,Smart Watch,Electronics,2025-01-01 00:03:00,90,49385,5029,0,4444650,3992040
5,103,Bangalore Store,North,214,Monitor,Electronics,2025-01-01 00:04:00,73,53968,25492,1,3939664,2078748
6,108,Bangalore Store,North,204,SSD,Networking,2025-01-01 00:05:00,16,36061,29903,4,576976,98528
7,105,Chennai Store,South,210,Microphone,Electronics,2025-01-01 00:06:00,76,36509,6728,5,2774684,2263356
8,105,Kolkata Store,South,208,Projector,Accessories,2025-01-01 00:07:00,7,32584,28958,6,228088,25382
9,107,Chennai Store,East,208,Router,Networking,2025-01-01 00:08:00,84,35907,36260,1,3016188,-29652
10,102,Delhi Store,South,208,Tablet,Accessories,2025-01-01 00:09:00,6,26618,20184,4,159708,38604
11,103,Hyderabad Store,South,201,Mouse,Electronics,2025-01-01 00:10:00,57,1511,22467,9,86127,-1194492
12,107,Bangalore Store,North,205,Laptop,Accessories,2025-01-01 00:11:00,74,55361,49609,3,4096714,425648
13,103,Bangalore Store,South,210,Projector,Accessories,2025-01-01 00:12:00,85,28327,32456,2,2407795,-350965
14,103,Hyderabad Store,West,206,Monitor,Electronics,2025-01-01 00:13:00,52,42396,36859,1,2204592,287924
15,108,Delhi Store,North,212,Mouse,Storage,2025-01-01 00:14:00,86,2797,47198,1,240542,-3818486
16,105,Mumbai Store,South,214,Tablet,Electronics,2025-01-01 00:15:00,37,21957,22087,7,812409,-4810
17,104,Mumbai Store,West,209,Webcam,Electronics,2025-01-01 00:16:00,25,53691,49647,2,1342275,101100
18,108,Bangalore Store,East,209,Speaker,Storage,2025-01-01 00:17:00,61,23279,39884,0,1420019,-1012905
19,108,Mumbai Store,South,205,Webcam,Accessories,2025-01-01 00:18:00,73,34758,37030,1,2537334,-165856
20,103,Kolkata Store,South,203,Mouse,Electronics,2025-01-01 00:19:00,85,31596,16677,6,2685660,1268115
21,106,Delhi Store,East,209,Printer,Electronics,2025-01-01 00:20:00,62,38134,6603,8,2364308,1954922
22,105,Mumbai Store,West,212,Projector,Storage,2025-01-01 00:21:00,41,36143,41268,1,1481863,-210125
23,102,Chennai Store,West,206,Router,Accessories,2025-01-01 00:22:00,47,43882,27556,5,2062454,767322
24,108,Delhi Store,West,207,Microphone,Electronics,2025-01-01 00:23:00,2,4989,48410,5,9978,-86842
25,104,Hyderabad Store,West,214,Headphones,Electronics,2025-01-01 00:24:00,99,22772,29900,1,2254428,-705672
26,106,Bangalore Store,East,213,Router,Accessories,2025-01-01 00:25:00,79,33017,36274,2,2608343,-257303
27,106,Delhi Store,West,204,Monitor,Electronics,2025-01-01 00:26:00,8,13168,14648,5,105344,-11840
28,102,Mumbai Store,East,203,Hard Disk,Electronics,2025-01-01 00:27:00,85,39701,8751,7,3374585,2630750
29,108,Delhi Store,West,204,Laptop,Accessories,2025-01-01 00:28:00,87,26816,26900,6,2332992,-7308
30,104,Pune Store,East,211,Printer,Accessories,2025-01-01 00:29:00,86,58797,43548,3,5056542,1311414
